months,poblacion,inmigrantes',defunciones',emigrantes',nacimientos'
2022.0,10000000.0,72000.0,82800.0,9000.0,101000.0
2022.083,10006766.6667,72048.72,82856.028,9006.09,101068.343333
2022.167,10013537.9121,72097.4729672,82912.0939123,9012.1841209,101136.732912
2022.25,10020313.7394,72146.2589239,82968.1977625,9018.28236549,101205.168768
2022.333,10027094.1517,72195.0778924,83024.3395763,9024.38473656,101273.650932
2022.417,10033879.1521,72243.9298952,83080.5193794,9030.49123689,101342.179436
2022.5,10040668.7437,72292.8149544,83136.7371975,9036.6018693,101410.754311
2022.583,10047462.9295,72341.7330925,83192.9930564,9042.71663656,101479.375588
2022.667,10054261.7128,72390.6843319,83249.2869817,9048.83554149,101548.043299
2022.75,10061065.0965,72439.668695,83305.6189992,9054.95858687,101616.757475
2022.833,10067873.0839,72488.6862041,83361.9891347,9061.08577551,101685.518147
2022.917,10074685.678,72537.7368818,83418.397414,9067.21711022,101754.325348
2023.0,10081502.882,72586.8207504,83474.843863,9073.3525938,101823.179108
2023.083,10088324.6989,72635.9378324,83531.3285073,9079.49222905,101892.079459
2023.167,10095151.132,72685.0881504,83587.8513729,9085.6360188,101961.026433
2023.25,10101982.1843,72734.2717267,83644.4124857,9091.78396584,102030.020061
2023.333,10108817.8589,72783.4885839,83701.0118715,9097.93607299,102099.060375
2023.417,10115658.159,72832.7387445,83757.6495562,9104.09234306,102168.147405
2023.5,10122503.0876,72882.022231,83814.3255657,9110.25277888,102237.281185
2023.583,10129352.6481,72931.3390661,83871.039926,9116.41738326,102306.461745
2023.667,10136206.8434,72980.6892722,83927.792663,9122.58615902,102375.689118
2023.75,10143065.6767,73030.0728719,83984.5838027,9128.75910899,102444.963334
2023.833,10149929.1511,73079.4898879,84041.4133711,9134.93623599,102514.284426
2023.917,10156797.2698,73128.9403427,84098.2813941,9141.11754284,102583.652425
2024.0,10163670.036,73178.424259,84155.1878979,9147.30303238,102653.067363
2024.083,10170547.4527,73227.9416594,84212.1329084,9153.49270743,102722.529272
2024.167,10177429.5231,73277.4925666,84269.1164516,9159.68657083,102792.038184
2024.25,10184316.2505,73327.0770033,84326.1385538,9165.88462541,102861.59413
2024.333,10191207.6378,73376.694992,84383.1992409,9172.08687401,102931.197142
2024.417,10198103.6883,73426.3465557,84440.298539,9178.29331946,103000.847252
2024.5,10205004.4051,73476.0317168,84497.4364744,9184.5039646,103070.544492
2024.583,10211909.7914,73525.7504983,84554.613073,9190.71881229,103140.288893
2024.667,10218819.8504,73575.5029228,84611.8283612,9196.93786535,103210.080489
2024.75,10225734.5852,73625.2890131,84669.0823651,9203.16112664,103279.91931
2024.833,10232653.9989,73675.108792,84726.3751108,9209.388599,103349.805389
2024.917,10239578.0948,73724.9622823,84783.7066246,9215.62028529,103419.738757
2025.0,10246506.8759,73774.8495068,84841.0769328,9221.85618835,103489.719447
2025.083,10253440.3456,73824.7704883,84898.4860615,9228.09631103,103559.74749
2025.167,10260378.5069,73874.7252496,84955.9340371,9234.3406562,103629.82292
2025.25,10267321.363,73924.7138137,85013.4208858,9240.58922671,103699.945766
2025.333,10274268.9171,73974.7362034,85070.9466339,9246.84202542,103770.116063
2025.417,10281221.1724,74024.7924416,85128.5113078,9253.09905519,103840.333842
2025.5,10288178.1321,74074.8825511,85186.1149338,9259.36031889,103910.599134
2025.583,10295139.7993,74125.006555,85243.7575382,9265.62581937,103980.911973
2025.667,10302106.1772,74175.1644761,85301.4391475,9271.89555951,104051.27239
2025.75,10309077.2691,74225.3563374,85359.159788,9278.16954217,104121.680418
2025.833,10316053.078,74275.5821618,85416.9194861,9284.44777023,104192.136088
2025.917,10323033.6073,74325.8419724,85474.7182683,9290.73024655,104262.639434
2026.0,10330018.86,74376.1357922,85532.556161,9297.01697402,104333.190486
2026.083,10337008.8394,74426.463644,85590.4331906,9303.3079555,104403.789278
2026.167,10344003.5488,74476.8255511,85648.3493838,9309.60319389,104474.435843
2026.25,10351002.9912,74527.2215364,85706.3047669,9315.90269205,104545.130211
2026.333,10358007.1699,74577.651623,85764.2993664,9322.20645287,104615.872416
2026.417,10365016.088,74628.1158339,85822.333209,9328.51447924,104686.662489
2026.5,10372029.7489,74678.6141923,85880.4063211,9334.82677403,104757.500464
2026.583,10379048.1557,74729.1467212,85938.5187294,9341.14334015,104828.386373
2026.667,10386071.3116,74779.7134438,85996.6704604,9347.46418048,104899.320248
2026.75,10393099.2199,74830.3143833,86054.8615407,9353.78929791,104970.302121
2026.833,10400131.8837,74880.9495627,86113.0919971,9360.11869533,105041.332025
2026.917,10407169.3063,74931.6190052,86171.361856,9366.45237565,105112.409993
2027.0,10414211.4908,74982.3227341,86229.6711442,9372.79034176,105183.536057
2027.083,10421258.4406,75033.0607724,86288.0198883,9379.13259656,105254.71025
2027.167,10428310.1588,75083.8331436,86346.4081151,9385.47914295,105325.932604
2027.25,10435366.6487,75134.6398707,86404.8358513,9391.82998383,105397.203152
2027.333,10442427.9135,75185.480977,86463.3031235,9398.18512212,105468.521926
2027.417,10449493.9564,75236.3564858,86521.8099586,9404.54456072,105539.888959
2027.5,10456564.7806,75287.2664203,86580.3563834,9410.90830254,105611.304284
2027.583,10463640.3894,75338.2108039,86638.9424245,9417.27635049,105682.767933
2027.667,10470720.7861,75389.1896599,86697.5681089,9423.64870749,105754.27994
2027.75,10477805.9738,75440.2030116,86756.2334633,9430.02537645,105825.840336
2027.833,10484895.9559,75491.2508823,86814.9385146,9436.40636029,105897.449154
2027.917,10491990.7355,75542.3332954,86873.6832897,9442.79166192,105969.106428
2028.0,10499090.3159,75593.4502742,86932.4678154,9449.18128428,106040.81219
2028.083,10506194.7003,75644.6018423,86991.2921186,9455.57523028,106112.566473
2028.167,10513303.8921,75695.7880228,87050.1562263,9461.97350286,106184.36931
2028.25,10520417.8944,75747.0088394,87109.0601653,9468.37610493,106256.220733
2028.333,10527536.7105,75798.2643154,87168.0039627,9474.78303942,106328.120776
2028.417,10534660.3436,75849.5544742,87226.9876454,9481.19430928,106400.069471
2028.5,10541788.7971,75900.8793394,87286.0112403,9487.60991743,106472.066851
2028.583,10548922.0742,75952.2389345,87345.0747746,9494.02986681,106544.11295
2028.667,10556060.1782,76003.6332828,87404.1782752,9500.45416035,106616.207799
2028.75,10563203.1122,76055.062408,87463.3217692,9506.882801,106688.351433
2028.833,10570350.8797,76106.5263335,87522.5052836,9513.31579169,106760.543885
2028.917,10577503.4838,76158.025083,87581.7288455,9519.75313538,106832.785186
2029.0,10584660.9278,76209.55868,87640.992482,9526.194835,106905.075371
2029.083,10591823.215,76261.127148,87700.2962203,9532.64089351,106977.414472
2029.167,10598990.3487,76312.7305108,87759.6400874,9539.09131384,107049.802522
2029.25,10606162.3322,76364.3687917,87819.0241105,9545.54609897,107122.239555
2029.333,10613339.1687,76416.0420146,87878.4483168,9552.00525183,107194.725604
2029.417,10620520.8615,76467.750203,87937.9127335,9558.46877538,107267.260701
2029.5,10627707.414,76519.4933807,87997.4173878,9564.93667258,107339.844881
2029.583,10634898.8293,76571.2715712,88056.9623069,9571.4089464,107412.478176
2029.667,10642095.1109,76623.0847983,88116.547518,9577.88559979,107485.16062
2029.75,10649296.2619,76674.9330857,88176.1730485,9584.36663571,107557.892245
2029.833,10656502.2857,76726.8164571,88235.8389256,9590.85205713,107630.673086
2029.917,10663713.1856,76778.7349362,88295.5451766,9597.34186703,107703.503174
2030.0,10670928.9648,76830.6885468,88355.2918289,9603.83606836,107776.382545
2030.083,10678149.6268,76882.6773128,88415.0789097,9610.33466409,107849.31123
2030.167,10685375.1747,76934.7012577,88474.9064464,9616.83765722,107922.289264
2030.25,10692605.6119,76986.7604056,88534.7744664,9623.3450507,107995.31668
2030.333,10699840.9417,77038.8547801,88594.6829972,9629.85684752,108068.393511
2030.417,10707081.1674,77090.9844052,88654.632066,9636.37305065,108141.519791
2030.5,10714326.2923,77143.1493046,88714.6217003,9642.89366308,108214.695552
2030.583,10721576.3198,77195.3495023,88774.6519277,9649.41868779,108287.92083
2030.667,10728831.2531,77247.5850222,88834.7227755,9655.94812777,108361.195656
2030.75,10736091.0956,77299.855888,88894.8342712,9662.481986,108434.520065
2030.833,10743355.8505,77352.1621239,88954.9864424,9669.02026548,108507.89409
2030.917,10750625.5213,77404.5037536,89015.1793166,9675.56296919,108581.317765
2031.0,10757900.1113,77456.8808011,89075.4129213,9682.11010014,108654.791124
2031.083,10765179.6237,77509.2932904,89135.687284,9688.66166131,108728.314199
2031.167,10772464.0619,77561.7412456,89196.0024324,9695.2176557,108801.887025
2031.25,10779753.4292,77614.2246905,89256.358394,9701.77808631,108875.509635
2031.333,10787047.7291,77666.7436492,89316.7551966,9708.34295615,108949.182063
2031.417,10794346.9647,77719.2981457,89377.1928676,9714.91226821,109022.904343
2031.5,10801651.1395,77771.8882041,89437.6714348,9721.48602552,109096.676509
2031.583,10808960.2567,77824.5138485,89498.1909258,9728.06423106,109170.498593
2031.667,10816274.3198,77877.1751029,89558.7513683,9734.64688786,109244.37063
2031.75,10823593.3321,77929.8719913,89619.35279,9741.23399892,109318.292655
2031.833,10830917.297,77982.6045381,89679.9952188,9747.82556726,109392.264699
2031.917,10838246.2177,78035.3727671,89740.6786822,9754.42159589,109466.286798
2032.0,10845580.0976,78088.1767027,89801.4032081,9761.02208784,109540.358986
2032.083,10852918.9401,78141.0163689,89862.1688243,9767.62704612,109614.481295
2032.167,10860262.7486,78193.89179,89922.9755585,9774.23647375,109688.653761
2032.25,10867611.5264,78246.8029901,89983.8234386,9780.85037377,109762.876417
2032.333,10874965.2769,78299.7499935,90044.7124925,9787.46874918,109837.149296
2032.417,10882324.0034,78352.7328243,90105.642748,9794.09160304,109911.472434
2032.5,10889687.7093,78405.7515069,90166.6142329,9800.71893836,109985.845864
2032.583,10897056.398,78458.8060654,90227.6269752,9807.35075817,110060.269619
2032.667,10904430.0728,78511.8965241,90288.6810028,9813.98706552,110134.743735
2032.75,10911808.7371,78565.0229075,90349.7763436,9820.62786343,110209.268245
2032.833,10919192.3944,78618.1852396,90410.9130256,9827.27315495,110283.843183
2032.917,10926581.0479,78671.383545,90472.0910767,9833.92294312,110358.468584
2033.0,10933974.7011,78724.6178478,90533.310525,9840.57723098,110433.144481
2033.083,10941373.3573,78777.8881726,90594.5713985,9847.23602157,110507.870909
2033.167,10948777.0199,78831.1945436,90655.8737251,9853.89931795,110582.647901
2033.25,10956185.6924,78884.5369852,90717.217533,9860.56712315,110657.475493
2033.333,10963599.378,78937.9155219,90778.6028502,9867.23944024,110732.353718
2033.417,10971018.0803,78991.3301781,90840.0297048,9873.91627226,110807.282611
2033.5,10978441.8025,79044.7809782,90901.4981249,9880.59762227,110882.262205
2033.583,10985870.5481,79098.2679466,90963.0081386,9887.28349333,110957.292536
2033.667,10993304.3205,79151.7911079,91024.5597741,9893.97388849,111032.373638
2033.75,11000743.1231,79205.3504866,91086.1530596,9900.66881082,111107.505544
2033.833,11008186.9593,79258.9461071,91147.7880231,9907.36826339,111182.688289
2033.917,11015635.8325,79312.577994,91209.464693,9914.07224924,111257.921908
2034.0,11023089.7461,79366.2461717,91271.1830975,9920.78077147,111333.206435
2034.083,11030548.7035,79419.950665,91332.9432647,9927.49383312,111408.541905
2034.167,11038012.7081,79473.6914983,91394.745223,9934.21143728,111483.928352
2034.25,11045481.7634,79527.4686962,91456.5890006,9940.93358702,111559.36581
2034.333,11052955.8727,79581.2822833,91518.4746258,9947.66028541,111634.854314
2034.417,11060435.0395,79635.1322843,91580.402127,9954.39153554,111710.393899
2034.5,11067919.2672,79689.0187238,91642.3715324,9961.12734048,111785.984599
2034.583,11075408.5592,79742.9416265,91704.3828705,9967.86770331,111861.626448
2034.667,11082902.919,79796.901017,91766.4361696,9974.61262713,111937.319482
2034.75,11090402.35,79850.89692,91828.531458,9981.362115,112013.063735
2034.833,11097906.8556,79904.9293603,91890.6687643,9988.11617004,112088.859242
2034.917,11105416.4392,79958.9983625,91952.8481169,9994.87479531,112164.706036
2035.0,11112931.1044,80013.1039514,92015.0695441,10001.6379939,112240.604154
2035.083,11120450.8544,80067.2461517,92077.3330745,10008.405769,112316.553629
2035.167,11127975.6928,80121.4249883,92139.6387365,10015.1781235,112392.554497
2035.25,11135505.623,80175.6404859,92201.9865587,10021.9550607,112468.606793
2035.333,11143040.6485,80229.8926692,92264.3765696,10028.7365837,112544.71055
2035.417,11150580.7727,80284.1815633,92326.8087978,10035.5226954,112620.865804
2035.5,11158125.999,80338.5071928,92389.2832717,10042.3133991,112697.07259
2035.583,11165676.3309,80392.8695827,92451.8000201,10049.1086978,112773.330942
2035.667,11173231.7719,80447.2687578,92514.3590714,10055.9085947,112849.640896
2035.75,11180792.3254,80501.704743,92576.9604544,10062.7130929,112926.002487
2035.833,11188357.9949,80556.1775632,92639.6041976,10069.5221954,113002.415748
2035.917,11195928.7838,80610.6872433,92702.2903298,10076.3359054,113078.880716
2036.0,11203504.6956,80665.2338084,92765.0188796,10083.154226,113155.397426
2036.083,11211085.7338,80719.8172832,92827.7898757,10089.9771604,113231.965911
2036.167,11218671.9018,80774.4376929,92890.6033469,10096.8047116,113308.586208
2036.25,11226263.2031,80829.0950624,92953.4593218,10103.6368828,113385.258351
2036.333,11233859.6412,80883.7894168,93016.3578293,10110.4736771,113461.982376
2036.417,11241461.2196,80938.5207809,93079.2988981,10117.3150976,113538.758318
2036.5,11249067.9417,80993.28918,93142.282557,10124.1611475,113615.586211
2036.583,11256679.811,81048.094639,93205.3088349,10131.0118299,113692.466091
2036.667,11264296.831,81102.937183,93268.3777605,10137.8671479,113769.397993
2036.75,11271919.0052,81157.8168372,93331.4893628,10144.7271047,113846.381952
2036.833,11279546.337,81212.7336266,93394.6436706,10151.5917033,113923.418004
2036.917,11287178.83,81267.6875763,93457.8407128,10158.460947,114000.506183
2037.0,11294816.4877,81322.6787116,93521.0805183,10165.334839,114077.646526
2037.083,11302459.3135,81377.7070575,93584.3631162,10172.2133822,114154.839067
2037.167,11310107.311,81432.7726393,93647.6885352,10179.0965799,114232.083841
2037.25,11317760.4836,81487.8754821,93711.0568044,10185.9844353,114309.380885
2037.333,11325418.8349,81543.0156112,93774.4679529,10192.8769514,114386.730232
2037.417,11333082.3683,81598.1930518,93837.9220095,10199.7741315,114464.13192
2037.5,11340751.0874,81653.4078291,93901.4190034,10206.6759786,114541.585982
2037.583,11348424.9956,81708.6599684,93964.9589636,10213.582496,114619.092456
2037.667,11356104.0965,81763.9494949,94028.5419192,10220.4936869,114696.651375
2037.75,11363788.3936,81819.2764341,94092.1678992,10227.4095543,114774.262776
2037.833,11371477.8904,81874.6408112,94155.8369328,10234.3301014,114851.926693
2037.917,11379172.5905,81930.0426514,94219.5490492,10241.2553314,114929.643164
2038.0,11386872.4973,81985.4819803,94283.3042773,10248.1852475,115007.412222
2038.083,11394577.6143,82040.9588231,94347.1026466,10255.1198529,115085.233905
2038.167,11402287.9452,82096.4732052,94410.944186,10262.0591507,115163.108246
2038.25,11410003.4933,82152.0251521,94474.8289249,10269.003144,115241.035283
2038.333,11417724.2624,82207.6146891,94538.7568925,10275.9518361,115319.01505
2038.417,11425450.2558,82263.2418417,94602.728118,10282.9052302,115397.047584
2038.5,11433181.4771,82318.9066354,94666.7426307,10289.8633294,115475.132919
2038.583,11440917.9299,82374.6090955,94730.8004599,10296.8261369,115553.271092
2038.667,11448659.6177,82430.3492477,94794.9016349,10303.793656,115631.462139
2038.75,11456406.5441,82486.1271174,94859.046185,10310.7658897,115709.706095
2038.833,11464158.7125,82541.94273,94923.2341395,10317.7428413,115788.002996
2038.917,11471916.1266,82597.7961113,94987.465528,10324.7245139,115866.352878
2039.0,11479678.7898,82653.6872867,95051.7403796,10331.7109108,115944.755777
2039.083,11487446.7058,82709.6162817,95116.058724,10338.7020352,116023.211729
2039.167,11495219.8781,82765.5831221,95180.4205904,10345.6978903,116101.720768
2039.25,11502998.3102,82821.5878333,95244.8260083,10352.6984792,116180.282933
2039.333,11510782.0057,82877.6304411,95309.2750072,10359.7038051,116258.898258
2039.417,11518570.9682,82933.710971,95373.7676167,10366.7138714,116337.566779
2039.5,11526365.2012,82989.8294488,95438.3038661,10373.7286811,116416.288532
2039.583,11534164.7083,83045.9859,95502.883785,10380.7482375,116495.063554
2039.667,11541969.4931,83102.1803505,95567.5074031,10387.7725438,116573.891881
2039.75,11549779.5591,83158.4128259,95632.1747497,10394.8016032,116652.773547
2039.833,11557594.91,83214.6833519,95696.8858547,10401.835419,116731.708591
2039.917,11565415.5492,83270.9919543,95761.6407474,10408.8739943,116810.697047
2040.0,11573241.4804,83327.3386588,95826.4394577,10415.9173324,116889.738952
2040.083,11581072.7071,83383.7234913,95891.282015,10422.9654364,116968.834342
2040.167,11588909.233,83440.1464775,95956.1684492,10430.0183097,117047.983253
2040.25,11596751.0616,83496.6076433,96021.0987898,10437.0759554,117127.185722
2040.333,11604598.1965,83553.1070145,96086.0730667,10444.1383768,117206.441784
2040.417,11612450.6412,83609.6446169,96151.0913095,10451.2055771,117285.751477
2040.5,11620308.3995,83666.2204764,96216.1535479,10458.2775596,117365.114835
2040.583,11628171.4749,83722.834619,96281.2598118,10465.3543274,117444.531896
2040.667,11636039.8709,83779.4870704,96346.4101309,10472.4358838,117524.002696
2040.75,11643913.5912,83836.1778566,96411.6045351,10479.5222321,117603.527271
2040.833,11651792.6394,83892.9070037,96476.8430542,10486.6133755,117683.105658
2040.917,11659677.0191,83949.6745374,96542.125718,10493.7093172,117762.737893
2041.0,11667566.7339,84006.4804838,96607.4525564,10500.8100605,117842.424012
2041.083,11675461.7874,84063.324869,96672.8235993,10507.9156086,117922.164052
2041.167,11683362.1832,84120.2077188,96738.2388766,10515.0259648,118001.95805
2041.25,11691267.9249,84177.1290593,96803.6984182,10522.1411324,118081.806042
2041.333,11699179.0162,84234.0889167,96869.2022542,10529.2611146,118161.708064
2041.417,11707095.4607,84291.0873168,96934.7504144,10536.3859146,118241.664153
2041.5,11715017.2619,84348.1242859,97000.3429288,10543.5155357,118321.674346
2041.583,11722944.4236,84405.19985,97065.9798275,10550.6499813,118401.738679
2041.667,11730876.9493,84462.3140353,97131.6611405,10557.7892544,118481.857188
2041.75,11738814.8427,84519.4668678,97197.3868979,10564.9333585,118562.029912
2041.833,11746758.1075,84576.6583737,97263.1571297,10572.0822967,118642.256885
2041.917,11754706.7471,84633.8885792,97328.971866,10579.2360724,118722.538146
2042.0,11762660.7653,84633.8885792,97328.971866,10579.2360724,118722.538146
